date,midpoint,2018,2019,2020,2021,2022,2023,2024,2025,2026,longer_run
2018-03-21,1.500,,,,,,,,,,
2018-03-21,1.625,2,1,1,,,,,,,
2018-03-21,1.750,,,,,,,,,,
2018-03-21,1.875,,,,,,,,,,
2018-03-21,2.000,,,,,,,,,,
2018-03-21,2.125,6,1,,,,,,,,
2018-03-21,2.250,,,,,,,,,,1
2018-03-21,2.375,6,,,,,,,,,
2018-03-21,2.500,,,,,,,,,,1
2018-03-21,2.625,1,1,2,,,,,,,1
2018-03-21,2.750,,1,,,,,,,,4
2018-03-21,2.875,,5,,,,,,,,
2018-03-21,3.000,,,,,,,,,,5
2018-03-21,3.125,,2,1,,,,,,,
2018-03-21,3.250,,,1,,,,,,,1
2018-03-21,3.375,,3,5,,,,,,,
2018-03-21,3.500,,,1,,,,,,,1
2018-03-21,3.625,,,2,,,,,,,
2018-03-21,3.750,,,,,,,,,,
2018-03-21,3.875,,1,,,,,,,,
2018-03-21,4.000,,,,,,,,,,
2018-03-21,4.125,,,1,,,,,,,
2018-03-21,4.250,,,,,,,,,,
2018-03-21,4.375,,,,,,,,,,
2018-03-21,4.500,,,,,,,,,,
2018-03-21,4.625,,,,,,,,,,
2018-03-21,4.750,,,,,,,,,,
2018-03-21,4.875,,,1,,,,,,,
2018-03-21,5.000,,,,,,,,,,
2018-06-13,1.750,,,,,,,,,,
2018-06-13,1.875,2,1,1,,,,,,,
2018-06-13,2.000,,,,,,,,,,
2018-06-13,2.125,5,1,,,,,,,,
2018-06-13,2.250,,,,,,,,,,1
2018-06-13,2.375,7,,,,,,,,,
2018-06-13,2.500,,,,,,,,,,1
2018-06-13,2.625,1,1,2,,,,,,,1
2018-06-13,2.750,,,,,,,,,,4
2018-06-13,2.875,,4,,,,,,,,
2018-06-13,3.000,,,,,,,,,,5
2018-06-13,3.125,,4,1,,,,,,,
2018-06-13,3.250,,,1,,,,,,,1
2018-06-13,3.375,,3,4,,,,,,,
2018-06-13,3.500,,,1,,,,,,,1
2018-06-13,3.625,,1,3,,,,,,,
2018-06-13,3.750,,,,,,,,,,
2018-06-13,3.875,,,,,,,,,,
2018-06-13,4.000,,,,,,,,,,
2018-06-13,4.125,,,2,,,,,,,
2018-06-13,4.250,,,,,,,,,,
2018-09-26,4.500,,,,,,,,,,
2018-09-26,4.375,,,,,,,,,,
2018-09-26,4.250,,,,,,,,,,
2018-09-26,4.125,,,,1,,,,,,
2018-09-26,4.000,,,,,,,,,,
2018-09-26,3.875,,,1,1,,,,,,
2018-09-26,3.750,,,,,,,,,,
2018-09-26,3.625,,1,6,2,,,,,,
2018-09-26,3.500,,,,1,,,,,,1
2018-09-26,3.375,,4,2,4,,,,,,
2018-09-26,3.250,,,,,,,,,,1
2018-09-26,3.125,,4,4,1,,,,,,
2018-09-26,3.000,,,,1,,,,,,6
2018-09-26,2.875,,4,1,3,,,,,,
2018-09-26,2.750,,,,,,,,,,4
